figure_id,source_pdf,source_pdf_sha256,source_png,source_png_sha256,source_width_px,source_height_px,audit_width_183mm_px,audit_width_89mm_px
Figure1,figures/stage_ii/main/Figure1.pdf,f636d28a8056ee310a8ec47d67a35136e5b0496bea9cbf418217a7140cc1c8e9,figures/stage_ii/main/Figure1.png,f3f938cb6ece65828c25137472212947fafaf1c799fb08f32576a2380dc98350,2161,1511,2161,1051
Figure2,figures/stage_ii/main/Figure2.pdf,3feb6ab2f2026b5ed5dd15f3e71c74be9bd39a76cf3e8df2cc9ef12ae59663f9,figures/stage_ii/main/Figure2.png,ebc8e7b7814f9a18d0b1b17a537ee4966b76934160142b74cdd21b68032a8f3b,2161,1511,2161,1051
Figure3,figures/stage_ii/main/Figure3.pdf,f098790b35ac4f807f314dd7d3918b14ab43666815c70ff8c789f01f272264c8,figures/stage_ii/main/Figure3.png,7a3e9141d600d2731016e3393a378c5573cae39da56e495b7d4234dd0a493a32,2161,1712,2161,1051
Figure4,figures/stage_ii/main/Figure4.pdf,97456d6021265ab022babef84ebd5a309661d7bac025a061864f58e16f4b287b,figures/stage_ii/main/Figure4.png,9e6f96874b6644073b2ac2dab764bf9f06723dd9317e46272285600467b8ff3e,2161,1712,2161,1051
Figure5,figures/stage_ii/main/Figure5.pdf,874d43cdaaacddac5f1ff6e902c97dd104111faf6f5d2d22143fd586923a9475,figures/stage_ii/main/Figure5.png,0a0ccf4104fea0941fadb25a954f87cf3a79cd093fb1d66ca2952a57d284da6f,2161,1712,2161,1051
Figure6,figures/stage_ii/main/Figure6.pdf,908a29636423dba1d8643738fac90060002581446fe8fdbc0d20c0e78eeeca3b,figures/stage_ii/main/Figure6.png,7d406f12726f66c8bc4dcd425d333ab845784b2335c3eb158199f77cf89721a3,2161,1771,2161,1051
FigureS1,figures/stage_ii/supplementary/FigureS1.pdf,be7f835e48097c611cc32824e3d38115bafbc9a959ddc3722c76e60dc43bac52,figures/stage_ii/supplementary/FigureS1.png,42aeddf3e31f375452ffd2d558a2c7bf6db322e40cdae0dd03effed874ef70d8,2161,1393,2161,1051
FigureS2,figures/stage_ii/supplementary/FigureS2.pdf,8d8825a007f84dfae58cf7f908b2cab7a366188c9951ef5ff998dccbb0b0b2dd,figures/stage_ii/supplementary/FigureS2.png,fe2cf218c8bc464a208169617a790165a4d919b592f647c4e9f8a2d0c71097d9,2161,1629,2161,1051
FigureS3,figures/stage_ii/supplementary/FigureS3.pdf,ed3aae2b57fa13ee2d98bf88d72c8bf4cf9ff92a647b9cb6b5f29d5d9ce08b52,figures/stage_ii/supplementary/FigureS3.png,fcf4ee7cb7ab7d253f9c7d67bb01b45789ce91b8c0786275ad2efaed03081c51,2161,1322,2161,1051
FigureS4,figures/stage_ii/supplementary/FigureS4.pdf,685cca370f50e011abc07f364c71eda8bad910b7e100f680a5f83ea25696ef66,figures/stage_ii/supplementary/FigureS4.png,f5257da934e98b7c7cc469130c95844cde97f6ec8c542726bcebb8fb075f9e4e,2161,1511,2161,1051
