cell_id,replication_seed,n_scenarios,scenario_sha256,allocation_l1_vs_25000,cvar_relative_vs_25000,objective_relative_vs_25000,selected_reversal,numeric_pass
ANCHOR-005,2026071957,1000,568a1648abda2e7d63b2bfd517e97438da88a4e03a08aa4295501346d6136ac7,0.020159882569718707,0.8177636232209967,0.0006601466298893525,False,False
ANCHOR-005,2026071957,2500,625049d02c77ef6b570f5c6d18da8348a2b36abfb5e4a92517ae6e0cc512f0e4,0.0031653802636984196,0.29940904003392677,0.007795319774004522,False,False
ANCHOR-005,2026071957,5000,ab2b2ac5307ef741421fe01ddaba45845e39247956ec0cf5951b8556195b7666,0.014419513548987573,0.23882383011118655,0.0011985054561546974,False,False
ANCHOR-005,2026071957,10000,c9364b4bd016ec796d1c475bd9e178cb324e541d8744dcf5c437fcae59ce19c4,0.004945180117629927,0.08397271690153106,0.002577717479705932,False,False
ANCHOR-005,2026071957,25000,f443d527cd68f6e6d793edde302c9012a1ff6796e561cd0d3eadc4b09d76da45,0.0,0.0,0.0,False,True
ANCHOR-005,2026071958,1000,953abf70e5bdc771f7eacda55eca48cf9ed567c16c152f9354c1a3b3ec684342,0.023576948110392765,0.341171548660879,0.007865960670341862,False,False
ANCHOR-005,2026071958,2500,512ccf5c847061d2fe75c219ff964e29137579c71d1425465ff89561a286effd,0.013470420426393431,0.14877735430661235,0.0017589876727170958,False,False
ANCHOR-005,2026071958,5000,621554b569e558386d5f9d48173b8d96134ed1f2eafe7f0e23a306870fe435b8,0.0008319642335904154,0.07188481863881732,0.0014102559220276032,False,False
ANCHOR-005,2026071958,10000,94d129e7cea2f120f938ebd1fdb393f1a873e9ff62c2483c153265864272d626,0.00318494270117467,0.0305560864075613,0.004611948247109245,False,False
ANCHOR-005,2026071958,25000,327fb6f5632ff17b71931eddf21ca8a6f09520fe460cb7ee055d0f62045cc240,0.0,0.0,0.0,False,True
ANCHOR-005,2026071959,1000,de3b0e00716b7f46c9ef6be9cb71baf7983c8c09ba6715cac931a385e002e98d,0.018130023128247547,0.05201642416846618,0.00205897908679267,False,False
ANCHOR-005,2026071959,2500,2af45df117069dbec676b73ca751183571e0e2d120efe2fd213645618a9eea3e,0.008327480670091009,0.016706995971261268,0.009546966067419654,False,True
ANCHOR-005,2026071959,5000,33b21ff5018e1772a7e3bc7fc0d378551ef649e57d4aad3f574ca386255895a9,0.004586028756430549,0.1588698364477027,0.00470143367169822,False,False
ANCHOR-005,2026071959,10000,d31d2838a1fb7e4502027cdb13b73539751a01b7ff21596ed911747da3fdf1c2,0.013343914290132791,0.17061151087658533,0.0022613362140081277,False,False
ANCHOR-005,2026071959,25000,8c6f9139f2ab8b6f8dac1b1bd059e5e069f3a08a164dc190a97fd107000ca7d3,0.0,0.0,0.0,False,True
ANCHOR-005,2026071960,1000,988e376cae7f466bfe5bf71af05e3206f1a86a2a94fc211dfcabe5a460fb33a7,0.032723396512505165,0.7992969900993097,0.00043732811889740474,False,False
ANCHOR-005,2026071960,2500,443d8042287c5ef6920715aad429c1094ea349e1656ed746cfae478979ebf4f5,0.005058653960321263,0.1296450709921682,0.0008273343883343441,False,False
ANCHOR-005,2026071960,5000,fd87b7cfeaac631b8eed2b40c1aa1b58ddaff632355b1bb86a2034757b252ca1,0.001324294897450895,0.015750089557642975,0.0008858700179555408,False,True
ANCHOR-005,2026071960,10000,c1fc418c57b539f246582a4086010e8a09f4ade807dab034780d0860fc28b5f1,0.0051473289820355705,0.020098874628480732,0.0026282662301044253,False,False
ANCHOR-005,2026071960,25000,8fa372b2df7a1681dc7036ae8eddc846b195fb18deb7aabb03bf6883f03b6423,0.0,0.0,0.0,False,True
