copula_family,analysis_status,state_rule,sampled_tau_points,crossing_count,reversal_region_count,crossing_intervals_json,reversal_regions_json,unique_threshold_admissible
clayton,MIXED_FACTOR_CONDITIONAL_SENSITIVITY_NOT_CAUSAL_THRESHOLD,cell reversal probability >= 0.5,25,11,6,"[[0.013979084598079238,0.04788874835668879],[0.10477840699151345,0.1455400251760266],[0.19155790008141343,0.21933561659235346],[0.21933561659235346,0.2254112115275804],[0.2254112115275804,0.2527811591258751],[0.40897244532763505,0.4365551882388344],[0.4365551882388344,0.47111814039047795],[0.4809356047961745,0.5],[0.5,0.5223345047014919],[0.5223345047014919,0.5469445661896135],[0.5469445661896135,0.5651760574818363]]","[[0.013979084598079238,0.013979084598079238],[0.1455400251760266,0.19155790008141343],[0.2254112115275804,0.2254112115275804],[0.4365551882388344,0.4365551882388344],[0.5,0.5],[0.5469445661896135,0.5469445661896135]]",False
gaussian,MIXED_FACTOR_CONDITIONAL_SENSITIVITY_NOT_CAUSAL_THRESHOLD,cell reversal probability >= 0.5,25,8,4,"[[0.05802298267729399,0.07528688019010969],[0.11999021525050914,0.13446534164717058],[0.15802530141905927,0.18949588867668168],[0.18949588867668168,0.21782979001236108],[0.31486675575784995,0.34191705587605314],[0.3704884149284229,0.38465090382122014],[0.5187298940603636,0.5472243730509674],[0.5642555528585989,0.5776689386219479]]","[[0.07528688019010969,0.11999021525050914],[0.18949588867668168,0.18949588867668168],[0.34191705587605314,0.3704884149284229],[0.5472243730509674,0.5642555528585989]]",False
student_t_df4,MIXED_FACTOR_CONDITIONAL_SENSITIVITY_NOT_CAUSAL_THRESHOLD,cell reversal probability >= 0.5,25,14,7,"[[0.005594821255596463,0.0343382566987337],[0.0343382566987337,0.06323784845900456],[0.06323784845900456,0.0936013627103764],[0.0936013627103764,0.11767720906131404],[0.1344300757120586,0.15377149944859766],[0.15377149944859766,0.19392963892748283],[0.19392963892748283,0.20520399809297982],[0.20520399809297982,0.23528981165352494],[0.23528981165352494,0.25],[0.25,0.2508636978624054],[0.2508636978624054,0.2792217142476454],[0.2792217142476454,0.3043991785800868],[0.37129253841499055,0.383159542132026],[0.4226836011684112,0.4299604474453502]]","[[0.0343382566987337,0.0343382566987337],[0.0936013627103764,0.0936013627103764],[0.15377149944859766,0.15377149944859766],[0.20520399809297982,0.20520399809297982],[0.25,0.25],[0.2792217142476454,0.2792217142476454],[0.383159542132026,0.4226836011684112]]",False
