ranking_definition,omitted_year,state_years,mean_pairwise_inversions,top_rank_reversal_rate,strong_reversal_rate
operating_margin,2022,51,1.862745098,0.862745098,0.6078431373
operating_margin,2023,51,1.647058824,0.7843137255,0.4509803922
operating_margin,2024,52,1.865384615,0.8076923077,0.5384615385
relative_yield,2022,51,2.117647059,0.8431372549,0.8039215686
relative_yield,2023,51,2.117647059,0.8823529412,0.8235294118
relative_yield,2024,52,2.115384615,0.8846153846,0.8269230769
standardized_revenue,2022,51,0.9215686275,0.6078431373,0.03921568627
standardized_revenue,2023,51,1.039215686,0.6274509804,0.03921568627
standardized_revenue,2024,52,1.192307692,0.6346153846,0.03846153846
total_cost_margin,2022,51,2.117647059,0.862745098,0.8039215686
total_cost_margin,2023,51,1.980392157,0.8235294118,0.7647058824
total_cost_margin,2024,52,2.019230769,0.8461538462,0.7692307692
