copula_family,raw_effective_sample_size,estimated_average_pairwise_kendall_tau,kendall_tau_bootstrap_low,kendall_tau_bootstrap_high,family_parameter,fixed_student_t_df,copula_log_likelihood,aic,theoretical_lower_tail_dependence,empirical_joint_lower_quartile_frequency,goodness_of_fit_scope,tail_fit_scope,model_use
student_t,8,0.333333333333,-0.166666666667,0.777777777778,"{""corr"": [[1.0, 0.49999999999999994, 0.49999999999999994], [0.49999999999999994, 1.0, 0.49999999999999994], [0.49999999999999994, 0.49999999999999994, 1.0]], ""df"": 4.0}",4,2.90000025875,-3.8000005175,0.2531699951,0.125,AIC_DESCRIPTIVE_ONLY_N_EQUALS_8,LOW_POWER_QUARTILE_DIAGNOSTIC_NOT_EXTREME_TAIL_ESTIMATION,REGISTERED_STRESS_PATH_NOT_FARM_LEVEL_ESTIMATE
gaussian,8,0.333333333333,-0.166666666667,0.777777777778,"[[1.0, 0.49999999999999994, 0.49999999999999994], [0.49999999999999994, 1.0, 0.49999999999999994], [0.49999999999999994, 0.49999999999999994, 1.0]]",,2.66050780749,-3.32101561498,0,0.125,AIC_DESCRIPTIVE_ONLY_N_EQUALS_8,LOW_POWER_QUARTILE_DIAGNOSTIC_NOT_EXTREME_TAIL_ESTIMATION,REGISTERED_STRESS_PATH_NOT_FARM_LEVEL_ESTIMATE
clayton,8,0.333333333333,-0.166666666667,0.777777777778,0.9999999999999999,,2.33455780047,-2.66911560095,0.5,0.125,AIC_DESCRIPTIVE_ONLY_N_EQUALS_8,LOW_POWER_QUARTILE_DIAGNOSTIC_NOT_EXTREME_TAIL_ESTIMATION,REGISTERED_STRESS_PATH_NOT_FARM_LEVEL_ESTIMATE
