lower_bound_specification,lower_bound_Corn,lower_bound_Soybean,lower_bound_Winter_Wheat,strong_reversal_structurally_inadmissible,copula_family,kendall_tau,risk_tolerance,cvar_limit,lower_tail_dependence,solver_status,active_set,pairwise_reversal_count,reversed_pairs,selected_pairwise_reversal,selected_complete_rank_reversal,selected_strong_reversal,strong_reversal_pairs,classification,top_ranked_crop,top_ranked_allocation,acreage_order_tolerance,near_zero_tolerance,expected_profit,cvar_loss,idle_land,allocation_Corn,allocation_Soybean,allocation_Winter_Wheat,possible_pairwise_reversal,universal_pairwise_reversal,possible_complete_rank_reversal,universal_complete_rank_reversal,possible_strong_reversal,universal_strong_reversal,multiple_optima,top_min_allocation,top_max_allocation,face_Winter_Wheat_over_Soybean_selected_difference,face_Winter_Wheat_over_Soybean_min_difference,face_Winter_Wheat_over_Soybean_max_difference,face_Winter_Wheat_over_Soybean_selected_reversal,face_Winter_Wheat_over_Soybean_possible_reversal,face_Winter_Wheat_over_Soybean_universal_reversal,face_Winter_Wheat_over_Soybean_possible_strong_reversal,face_Winter_Wheat_over_Soybean_universal_strong_reversal,face_Winter_Wheat_over_Corn_selected_difference,face_Winter_Wheat_over_Corn_min_difference,face_Winter_Wheat_over_Corn_max_difference,face_Winter_Wheat_over_Corn_selected_reversal,face_Winter_Wheat_over_Corn_possible_reversal,face_Winter_Wheat_over_Corn_universal_reversal,face_Winter_Wheat_over_Corn_possible_strong_reversal,face_Winter_Wheat_over_Corn_universal_strong_reversal,face_Soybean_over_Corn_selected_difference,face_Soybean_over_Corn_min_difference,face_Soybean_over_Corn_max_difference,face_Soybean_over_Corn_selected_reversal,face_Soybean_over_Corn_possible_reversal,face_Soybean_over_Corn_universal_reversal,face_Soybean_over_Corn_possible_strong_reversal,face_Soybean_over_Corn_universal_strong_reversal,active_set_transition
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0,1,-40.7681216572,0,optimal,land;budget;cvar;upper_bound,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,213.619025231,-40.7681216572,0,0.27997165122,0.65,0.0700283487798,True,True,True,True,False,False,False,0.0700283387244,0.0700283836561,-0.57997165122,-0.57997165122,-0.57997159772,True,True,True,False,False,-0.20994330244,-0.209943323119,-0.209943232688,True,True,True,False,False,0.37002834878,0.370028306867,0.370028383656,False,False,False,False,False,True
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0,-72.6676329191,0,optimal,land;cvar,0,,False,False,False,,no_reversal,Winter Wheat,0.486201172975,0.0001,0.0001,179.677556141,-72.6676329191,0,0.131830623925,0.3819682031,0.486201172975,False,False,False,False,False,False,False,0.486201172975,0.486201172975,0.104232969875,0.104232969875,0.104232969875,False,False,False,False,False,0.35437054905,0.35437054905,0.35437054905,False,False,False,False,False,0.250137579175,0.250137579175,0.250137579175,False,False,False,False,False,True
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.1,-71.5149753401,0,optimal,land;cvar,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.373451878596,0.0001,0.0001,188.874593568,-71.5149753401,0,0.178910582018,0.447637539386,0.373451878596,True,True,False,False,False,False,False,0.373451851021,0.373452013782,-0.0741856607894,-0.0741856765418,-0.0741856004238,True,True,True,False,False,0.194541296578,0.194541153487,0.194541717887,False,False,False,False,False,0.268726957368,0.26872675391,0.268727394429,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.2,-70.362317761,0,optimal,land;cvar,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.320618246156,0.0001,0.0001,193.070117051,-70.362317761,0,0.20384093615,0.475540817694,0.320618246156,True,True,False,False,False,False,False,0.320618099473,0.320618373995,-0.154922571538,-0.1549225828,-0.154922454414,True,True,True,False,False,0.116777310007,0.116776752832,0.116777704785,False,False,False,False,False,0.271699881545,0.271699207247,0.271700287585,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.3,-69.2096601819,0,optimal,land;cvar,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.287484281819,0.0001,0.0001,196.49680176,-69.2096601819,0,0.199482163863,0.513033554318,0.287484281819,True,True,False,False,False,False,False,0.287484132531,0.28748438146,-0.2255492725,-0.2255492725,-0.225549153298,True,True,True,False,False,0.0880021179553,0.0880015508918,0.088002414092,False,False,False,False,False,0.313551390455,0.313550704189,0.313551683805,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.4,-68.0570026028,0,optimal,land;cvar,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.256802384699,0.0001,0.0001,199.600365544,-68.0570026028,0,0.197193457828,0.546004157474,0.256802384699,True,True,False,False,False,False,False,0.256802316425,0.256802445947,-0.289201772775,-0.289201772775,-0.28920169068,True,True,True,False,False,0.0596089268712,0.059608639956,0.0596090890959,False,False,False,False,False,0.348810699646,0.348810330636,0.348810840349,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.5,-66.9043450238,0,optimal,land;cvar,1,Winter Wheat<Soybean,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.223973286807,0.0001,0.0001,202.636633925,-66.9043450238,0,0.2018946577,0.574132055493,0.223973286807,True,True,False,False,False,False,False,0.223973217495,0.223973362413,-0.350158768687,-0.350158768687,-0.350158685343,True,True,True,False,False,0.0220786291063,0.0220783378267,0.0220788403561,False,False,False,False,False,0.372237397793,0.37223702317,0.372237593473,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.6,-65.7516874447,0,optimal,land;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.190833494476,0.0001,0.0001,205.608750515,-65.7516874447,0,0.208974866842,0.600191638682,0.190833494476,True,True,True,True,False,False,False,0.190833382247,0.190833604329,-0.409358144206,-0.409358144206,-0.409358040045,True,True,True,False,False,-0.0181413723666,-0.0181418132129,-0.0181410431055,True,True,True,False,False,0.39121677184,0.391216226832,0.391217100801,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.7,-64.5990298656,0,optimal,land;cvar,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.163127488611,0.0001,0.0001,208.397869463,-64.5990298656,0,0.207245548054,0.629626963335,0.163127488611,True,True,True,True,False,False,False,0.1631163973,0.163127560428,-0.466499474725,-0.466499474725,-0.466494235293,True,True,True,False,False,-0.0441180594436,-0.0441565728082,-0.0441178627804,True,True,True,False,False,0.422381415281,0.422337662484,0.422381593155,False,False,False,False,False,False
principal_positive_lower_bounds,0.05,0.1,0.05,True,gaussian,0.15,0.8,-63.4463722865,0,optimal,land;cvar;upper_bound,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.135625010736,0.0001,0.0001,210.81452793,-63.4463722865,0,0.214374989264,0.65,0.135625010736,True,True,True,True,False,False,False,0.135624913452,0.135625046836,-0.514374989264,-0.514374989264,-0.514374890784,True,True,True,False,False,-0.0787499785287,-0.0787503688589,-0.0787499063274,True,True,True,False,False,0.435625010736,0.435624521925,0.435625046836,False,False,False,False,False,True
