metric,bootstrap_replications,finite_replications,estimate_mean,bootstrap_standard_error,percentile_95_low,percentile_95_high
allocation_Corn,64,64,0.276550436882,0.0769465874229,0.124805202207,0.368342616831
allocation_Soybean,64,64,0.527055156079,0.119413256264,0.257925588421,0.65
allocation_Winter_Wheat,64,64,0.196394407039,0.0840843215006,0.0700283487798,0.403587697204
expected_profit,64,64,205.138743815,31.481205664,152.353896889,261.833414513
cvar_loss,64,64,-59.7960880532,35.5019691421,-128.564207541,-5.50364499
first_reversal_risk_tolerance,64,64,0.065625,0.181893698242,0,0.5975
selected_reversal_probability,64,64,0.96875,0.0217490795423,0.891629477775,0.996192818618
