crop,score_name,historical_yield_potential_score,score_training_start,score_training_end,score_observations,mean_margin_real_2024_usd_per_acre,sd_margin_real_2024_usd_per_acre,mean_yield_bushels_per_acre,mean_price_usd_per_bushel,mean_operating_cost_nominal_usd_per_acre,score_uses_evaluation_year,evidence_class
Corn,predecision_historical_relative_yield_potential,0.748444337923,2016,2023,8,199.77344141,94.8587481877,130.375,4.23375,376.31875,False,OFFICIAL_DATA_CALIBRATED_STRUCTURAL_STRESS_TEST
Soybean,predecision_historical_relative_yield_potential,0.755591099424,2016,2023,8,228.991153003,103.972444658,38.0625,10.48125,200.26375,False,OFFICIAL_DATA_CALIBRATED_STRUCTURAL_STRESS_TEST
Winter Wheat,predecision_historical_relative_yield_potential,0.893657755436,2016,2023,8,138.341743382,49.5503611189,45.5,5.79125,138.41125,False,OFFICIAL_DATA_CALIBRATED_STRUCTURAL_STRESS_TEST
