policy,status,expected_profit,var_loss,cvar_loss,worst_decile_profit,budget_usage,acreage_usage,cvar_violation,budget_violation,acreage_violation,lower_bound_violation,upper_bound_violation,rotation_violation,contract_violation,shared_capacity_violation,acres_Corn,acres_Soybean,acres_Winter Wheat,pairwise_reversal_count,reversed_pairs,selected_pairwise_reversal,selected_complete_rank_reversal,selected_strong_reversal,strong_reversal_pairs,classification,top_ranked_crop,top_ranked_allocation,acreage_order_tolerance,near_zero_tolerance,idle_land,profit_variance,risk_feasible,alpha,risk_tolerance,cvar_limit,comparison_scenario_law,projection_method
suitability_proportional_euclidean,projected,187.405471039,-86.4730606478,-53.065890611,53.5798470731,306.297523504,1,False,False,False,False,False,False,False,False,0.312151838349,0.315132520582,0.37271564107,0,,False,False,False,,no_reversal,Winter Wheat,0.37271564107,0.0001,0.0001,0,3801.0715212,True,0.95,0.5,-46.9850131494,primary Student-t structural scenario law,euclidean_l2
winner_take_all_euclidean,projected,169.604381554,-85.207206133,-59.3539429385,59.7516854492,258.817102077,1,False,False,False,False,False,False,False,False,0.200000000398,0.199999999602,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,1.11022302463e-16,2691.12301419,True,0.95,0.5,-46.9850131494,primary Student-t structural scenario law,euclidean_l2
equal_share_euclidean,projected,190.437787214,-86.9773243813,-51.4347140026,51.981523393,314.90536225,1,False,False,False,False,False,False,False,False,0.333333333333,0.333333333333,0.333333333333,0,,False,False,False,,no_reversal,Winter Wheat,0.333333333333,0.0001,0.0001,0,4051.17781022,True,0.95,0.5,-46.9850131494,primary Student-t structural scenario law,euclidean_l2
expected_profit_no_CVaR,optimal,216.525102834,-85.1968455122,-34.5168584588,35.2965505673,330,1,True,False,False,False,False,False,False,False,0.27997165122,0.65,0.0700283487798,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.0700283487798,0.0001,0.0001,0,7322.13406964,False,0.95,0.5,-46.9850131494,primary Student-t structural scenario law,not_applicable
full_CVaR_operational,optimal,198.483845681,-87.6713643453,-46.9850131494,47.6109570139,322.911967106,1,False,False,False,False,False,False,False,False,0.33026489325,0.421903768704,0.247831338047,2,Winter Wheat<Soybean;Winter Wheat<Corn,True,True,False,,selected_complete_rank_reversal,Winter Wheat,0.247831338047,0.0001,0.0001,0,4842.00872105,True,0.95,0.5,-46.9850131494,primary Student-t structural scenario law,not_applicable
minimum_CVaR_endpoint_not_primary,optimal,168.994304312,-87.7639305106,-59.45316784,59.8887180349,263.272413035,1,False,False,False,False,False,False,False,False,0.220460812828,0.179539187172,0.6,1,Soybean<Corn,True,False,False,,selected_pairwise_reversal,Winter Wheat,0.6,0.0001,0.0001,0,2641.54874362,True,0.95,0.5,-46.9850131494,primary Student-t structural scenario law,not_applicable
