policy,row_type,gamma,declared_benchmark,policy_solver_generated,solver_status,solver_message,mean_variance_objective,feasibility_max_violation,full_investment_residual,matched_kendall_tau,evaluation_law,gaussian_lower_tail_dependence,lower_tail_dependence,gaussian_profit_variance,gaussian_expected_profit,evaluation_profit_variance,evaluation_loss_CVaR,evaluation_expected_profit,risk_ceiling,xMV_vs_xT_allocation_L1,xMV_evaluation_CVaR_minus_xT,benchmark_gaussian_variance,gaussian_variance_reduction,gaussian_variance_reduction_fraction,variance_diversification_criterion,allocation_disagreement_criterion,tail_inferiority_criterion,strong_risk_ceiling_violation_criterion,weak_diversification_failure,strong_diversification_failure,selected_policy,xT_ceiling_slack,tail_and_ceiling_conditions_numerically_dependent,selection_rule,variance_reduction_target,selected_gamma,selected_gamma_is_interior,weak_failure_gamma_intervals,strong_failure_gamma_intervals,allocation_Corn,allocation_Soybean,allocation_Winter_Wheat,pairwise_reversal_count,reversed_pairs,selected_pairwise_reversal,selected_complete_rank_reversal,selected_strong_reversal,strong_reversal_pairs,classification,top_ranked_crop,top_ranked_allocation,acreage_order_tolerance,near_zero_tolerance,frontier_points,frontier_gamma_start,frontier_gamma_stop,frontier_gamma_step,x0_matches_gamma_zero_L1,minimum_evaluation_CVaR,gaussian_scenario_count,evaluation_scenario_count,scenario_seed,student_t_copula_df,evaluation_marginal,alpha,risk_tolerance,gaussian_sample_mean_max_error,criterion_definition
Gaussian_MV_frontier_gamma_0.0239,mean_variance_frontier,0.0239,False,True,optimal,Optimization terminated successfully,102.557681136,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2758.49216555,168.485643893,2578.24685452,-54.0446549234,168.477022533,-45.733313331,0.852823844323,-8.31134159243,6765.62398769,4007.13182214,0.592278233232,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.194919992213,0.205080007787,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0240,mean_variance_frontier,0.024,False,True,optimal,Optimization terminated successfully,102.281844818,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2758.23472542,168.479478229,2578.03068568,-54.0429124674,168.47093398,-45.733313331,0.852823844323,-8.30959913646,6765.62398769,4007.38926227,0.592316284434,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.195126783013,0.204873216987,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0241,mean_variance_frontier,0.0241,False,True,optimal,Optimization terminated successfully,102.006034084,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2757.98048419,168.473363753,2577.81734432,-54.0411844778,168.464895976,-45.733313331,0.852823844323,-8.30787114681,6765.62398769,4007.6435035,0.592353862821,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.195331856981,0.204668143019,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0242,mean_variance_frontier,0.0242,False,True,optimal,Optimization terminated successfully,101.730248617,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2757.72938819,168.467299811,2577.60678186,-54.0394641106,168.458907872,-45.733313331,0.852823844323,-8.30615077962,6765.62398769,4007.8945995,0.592390976323,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.195535236125,0.204464763875,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0243,mean_variance_frontier,0.0243,False,True,optimal,Optimization terminated successfully,101.454488104,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2757.48138475,168.461285753,2577.39895068,-54.037627228,168.45296903,-45.733313331,0.852823844323,-8.30431389703,6765.62398769,4008.14260294,0.592427632726,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.195736942186,0.204263057814,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0244,mean_variance_frontier,0.0244,False,True,optimal,Optimization terminated successfully,101.178752238,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2757.23642485,168.455321005,2577.19380629,-54.0358054061,168.44707888,-45.733313331,0.852823844323,-8.30249207514,6765.62398769,4008.38756284,0.592463839275,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.195936994448,0.204063005552,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0245,mean_variance_frontier,0.0245,False,True,optimal,Optimization terminated successfully,100.903040719,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2756.99445746,168.449404926,2576.99130257,-54.0339776278,168.441236792,-45.733313331,0.852823844323,-8.30066429683,6765.62398769,4008.62953023,0.592499603514,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.196135414356,0.203864585644,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0246,mean_variance_frontier,0.0246,False,True,optimal,Optimization terminated successfully,100.627353248,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2756.75543609,168.443536976,2576.79139734,-54.0321474372,168.435442229,-45.733313331,0.852823844323,-8.29883410622,6765.62398769,4008.8685516,0.592534932313,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.196332220105,0.203667779895,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0247,mean_variance_frontier,0.0247,False,True,optimal,Optimization terminated successfully,100.351689535,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2756.51931186,168.437716538,2576.59404647,-54.0303314993,168.429694585,-45.733313331,0.852823844323,-8.29701816832,6765.62398769,4009.10467583,0.592569832897,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.196527432337,0.203472567663,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
Gaussian_MV_frontier_gamma_0.0248,mean_variance_frontier,0.0248,False,True,optimal,Optimization terminated successfully,100.076049291,0,0,0.25,student_t_copula_df4_student_t_df5_marginal,0,0.195380168372,2756.28603767,168.431943025,2576.39920737,-54.0285302018,168.423993279,-45.733313331,0.852823844323,-8.29521687085,6765.62398769,4009.33795002,0.592604312228,True,True,False,False,False,False,False,6.39488462184e-14,True,smallest_gamma_achieving_fixed_gaussian_variance_reduction,0.15,0.0082,True,0.0068-0.0088,0.0068-0.0088,0.196721070732,0.203278929268,0.6,0,,False,False,False,,no_reversal,Winter Wheat,0.6,0.0001,0.0001,301,0,0.03,0.0001,0,-54.9181328549,4096,4096,202607350034,4,student_t_df5,0.95,0.5,0.649124009151,"variance reduction relative to solver-generated x0; material allocation difference from solver-generated xT; Student-t evaluation-law tail inferiority; and, for strong failure, violation of the common loss-CVaR ceiling. When xT binds the ceiling, the last two inequalities coincide numerically and are not independent checks."
