mechanism_class,pressure_term,mean,minimum,maximum,n,maximum_stationarity_residual
DIRECT_FORCING,margin_pressure,7.04820077778,7.04820077778,7.04820077778,32,8.881784197e-16
DIRECT_FORCING,tail_risk_pressure,0,0,0,32,8.881784197e-16
DIRECT_FORCING,budget_pressure,3.52410038889,0,7.04820077778,32,8.881784197e-16
DIRECT_FORCING,shared_pressure,3.52410038889,0,7.04820077778,32,8.881784197e-16
DIRECT_FORCING,boundary_pressure,0,0,0,32,8.881784197e-16
INACTIVE_IN_CELL,margin_pressure,7.04820077778,7.04820077778,7.04820077778,32,5.68434188608e-14
INACTIVE_IN_CELL,tail_risk_pressure,0,0,0,32,5.68434188608e-14
INACTIVE_IN_CELL,budget_pressure,0,0,0,32,5.68434188608e-14
INACTIVE_IN_CELL,shared_pressure,0,0,0,32,5.68434188608e-14
INACTIVE_IN_CELL,boundary_pressure,7.04820077778,7.04820077778,7.04820077778,32,5.68434188608e-14
MARGINAL_PRESSURE,margin_pressure,7.04820077778,7.04820077778,7.04820077778,80,2.20268248086e-13
MARGINAL_PRESSURE,tail_risk_pressure,0,0,0,80,2.20268248086e-13
MARGINAL_PRESSURE,budget_pressure,4.22892046667,0,7.04820077778,80,2.20268248086e-13
MARGINAL_PRESSURE,shared_pressure,2.81928031111,0,7.04820077778,80,2.20268248086e-13
MARGINAL_PRESSURE,boundary_pressure,0,0,0,80,2.20268248086e-13
