experiment_id,cell_id,registered_infeasible,total_rows
E3,E3-A0.90-INFEASIBLE,64,64
E3,E3-A0.95-INFEASIBLE,64,64
E3,E3-A0.99-INFEASIBLE,64,64
E4,E4-CLAYTON-T0.25,2,64
E4,E4-CLAYTON-T0.50,4,64
E4,E4-STUDENT_T_DF4-T0.25,1,64
E4,E4-STUDENT_T_DF4-T0.50,3,64
E5,E5-ASSUMED-CLAYTON,2,64
E5,E5-ASSUMED-STUDENT_T_DF4,2,64
