cell_id,allocation_Corn,allocation_Soybean,allocation_Winter_Wheat,selected_reversal,possible_reversal,universal_reversal,expected_profit,budget,rotation,contract,corn_bound,mechanism_class,n
E2-B0-R0-C0,1,0,0,0,0,0,376.289999926,0,0,0,0,INACTIVE_IN_CELL,16
E2-B0-R0-C1,0.45,0.55,0,1,1,1,372.413489498,0,0,1,0,MARGINAL_PRESSURE,16
E2-B0-R1-C0,0.45,0.55,0,1,1,1,372.413489498,0,1,0,0,MARGINAL_PRESSURE,16
E2-B0-R1-C1,0.45,0.55,0,1,1,1,372.413489498,0,1,1,0,DIRECT_FORCING,16
E2-B1-R0-C0,0.317645211931,0.682354788069,0,1,1,1,371.480626378,1,0,0,0,MARGINAL_PRESSURE,16
E2-B1-R0-C1,0.317645211931,0.682354788069,0,1,1,1,371.480626378,1,0,1,0,MARGINAL_PRESSURE,16
E2-B1-R1-C0,0.317645211931,0.682354788069,0,1,1,1,371.480626378,1,1,0,0,MARGINAL_PRESSURE,16
E2-B1-R1-C1,0.317645211931,0.682354788069,0,1,1,1,371.480626378,1,1,1,0,DIRECT_FORCING,16
E2-CORN-BOUND-ANCHOR,0.45,0.55,0,1,1,1,372.413489498,0,0,0,1,INACTIVE_IN_CELL,16
