design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass,evidence_status,promotion_status
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,cvar_loss,64,64,-4.78630785592,-5.74229129214,-3.83032441969,0.955983436229,1.91196687246,12,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-JUST_BINDING-VS-SLACK,selected_reversal_change,64,64,0.203125,0.0911342384211,0.393198126534,0.151031944057,0.302063888113,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-STRONGLY_BINDING-VS-SLACK,allocation_l1,64,64,1.02514884177,0.868523214429,1.18177446911,0.156625627339,0.313251254677,0.08,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-STRONGLY_BINDING-VS-SLACK,cvar_loss,64,64,-90.9398492624,-109.103534551,-72.776163974,18.1636852884,36.3273705767,12,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.95-STRONGLY_BINDING-VS-SLACK,selected_reversal_change,64,64,0.953125,0.796446637428,0.990625016062,0.097089189317,0.194178378634,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-BINDING_MID-VS-SLACK,allocation_l1,64,64,0.569835422549,0.443275628257,0.696395216842,0.126559794293,0.253119588585,0.08,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-BINDING_MID-VS-SLACK,cvar_loss,64,64,-85.1865148023,-104.662837832,-65.7101917729,19.4763230295,38.9526460589,12,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-BINDING_MID-VS-SLACK,selected_reversal_change,64,64,0.265625,0.133343101885,0.459550870448,0.163103884282,0.326207768563,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-JUST_BINDING-VS-SLACK,allocation_l1,64,64,0.052948258664,0.0352734252748,0.0706230920533,0.0176748333892,0.0353496667785,0.08,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-JUST_BINDING-VS-SLACK,cvar_loss,64,64,-8.51865148023,-10.4662837832,-6.57101917729,1.94763230295,3.89526460589,12,True,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-JUST_BINDING-VS-SLACK,selected_reversal_change,64,64,0.203125,0.0911342384211,0.393198126534,0.151031944057,0.302063888113,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-STRONGLY_BINDING-VS-SLACK,allocation_l1,64,64,1.27334720705,1.09685612299,1.44983829111,0.176491084059,0.352982168117,0.08,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-STRONGLY_BINDING-VS-SLACK,cvar_loss,64,64,-161.854378124,-198.85939188,-124.849364368,37.005013756,74.010027512,12,False,False,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_FAILED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E3,E3-A0.99-STRONGLY_BINDING-VS-SLACK,selected_reversal_change,64,64,0.859375,0.677481304308,0.946747938115,0.134633316903,0.269266633806,0.38,True,True,0.95,27,True,MAXIMUM_REACHED_PRECISION_FAILED,False,PRECISION_PASSED,EXPERIMENT_PRECISION_FAILED_NON_PROMOTED
