ranking_definition,omitted_year,state_years,mean_pairwise_inversions,top_rank_reversal_rate,strong_reversal_rate
operating_margin,2022,51,1.8627450980392157,0.8627450980392157,0.6078431372549019
operating_margin,2023,51,1.6470588235294117,0.7843137254901961,0.45098039215686275
operating_margin,2024,52,1.8653846153846154,0.8076923076923077,0.5384615384615384
relative_yield,2022,51,2.1176470588235294,0.8431372549019608,0.803921568627451
relative_yield,2023,51,2.1176470588235294,0.8823529411764706,0.8235294117647058
relative_yield,2024,52,2.1153846153846154,0.8846153846153846,0.8269230769230769
standardized_revenue,2022,51,0.9215686274509803,0.6078431372549019,0.0392156862745098
standardized_revenue,2023,51,1.0392156862745099,0.6274509803921569,0.0392156862745098
standardized_revenue,2024,52,1.1923076923076923,0.6346153846153846,0.038461538461538464
total_cost_margin,2022,51,2.1176470588235294,0.8627450980392157,0.803921568627451
total_cost_margin,2023,51,1.9803921568627452,0.8235294117647058,0.7647058823529411
total_cost_margin,2024,52,2.019230769230769,0.8461538461538461,0.7692307692307693
