ranking_definition,state_years,states,mean_pairwise_inversions,median_pairwise_inversions,top_rank_reversal_rate,strong_reversal_rate,mean_observed_minus_equal_value,mean_observed_minus_score_top_value
operating_margin,77,26,1.7922077922077921,2.0,0.8181818181818182,0.5324675324675324,0.24719896632565047,-74.7375984242804
relative_yield,77,26,2.116883116883117,2.0,0.8701298701298701,0.8181818181818182,0.24719896632565047,-30.928447965059604
standardized_revenue,77,26,1.051948051948052,1.0,0.6233766233766234,0.03896103896103896,0.24719896632565047,-26.5971146909038
total_cost_margin,77,26,2.038961038961039,2.0,0.8441558441558441,0.7792207792207793,0.24719896632565047,-46.94587006629338
