design_id,design_sha256,experiment_id,cell_id,replication_seed,model_stage,scenario_sha256,copula_family,kendall_tau,alpha,risk_limit,solver_status,solver_status_code,expected_profit,cvar_loss,var_loss,face_status,selected_reversal,possible_reversal,universal_reversal,face_min_difference,face_max_difference,face_width,evidence_class,allocation_Corn,allocation_Soybean,allocation_Winter_Wheat,acreage_usage,acreage_slack,budget_usage,budget_slack,min_lower_bound_slack,min_upper_bound_slack,cvar_slack,optimizer_var_auxiliary,optimizer_cvar_expression,optimizer_cvar_slack,budget_binds,cvar_binds,land_binds,rotation_binds,contract_binds,lower_bound_binds,upper_bound_binds,kkt_primal_residual,kkt_dual_nonnegativity_violation,kkt_stationarity_residual,kkt_complementarity_residual,risk_dual_eta,tail_weight_sum,tail_weight_min,tail_weight_max,tail_weight_cap,tail_weight_violation,raw_dual_land,raw_dual_budget,raw_dual_cvar,shadow_price_land,shadow_price_budget,shadow_price_cvar,lower_bound_slack_Corn,upper_bound_slack_Corn,lower_bound_binds_Corn,upper_bound_binds_Corn,raw_dual_lower_bound_Corn,shadow_price_lower_bound_Corn,raw_dual_upper_bound_Corn,shadow_price_upper_bound_Corn,lower_bound_slack_Soybean,upper_bound_slack_Soybean,lower_bound_binds_Soybean,upper_bound_binds_Soybean,raw_dual_lower_bound_Soybean,shadow_price_lower_bound_Soybean,raw_dual_upper_bound_Soybean,shadow_price_upper_bound_Soybean,lower_bound_slack_Winter Wheat,upper_bound_slack_Winter Wheat,lower_bound_binds_Winter Wheat,upper_bound_binds_Winter Wheat,raw_dual_lower_bound_Winter Wheat,shadow_price_lower_bound_Winter Wheat,raw_dual_upper_bound_Winter Wheat,shadow_price_upper_bound_Winter Wheat,cvar_subgradient_Corn,cvar_subgradient_Soybean,cvar_subgradient_Winter Wheat,margin_gap_Corn_minus_Soybean,score_order_fixed,budget,rotation,contract,corn_bound,budget_ratio,rotation_cap,contract_minimum,corn_upper,direct_forcing,marginal_pressure_active,mechanism_class,contract_slack_Soybean,contract_binds_Soybean,raw_dual_contract_Soybean,shadow_price_contract_Soybean,rotation_slack_Corn,rotation_binds_Corn,raw_dual_rotation_Corn,shadow_price_rotation_Corn,risk_regime,frontier_minimum_cvar,frontier_expected_profit_cvar,frontier_width,infeasible_anchor,registered_infeasible,minimum_feasible_cvar,infeasibility_margin,infeasibility_certificate_status,cross_family_status
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221001,M1_CARDINAL_MARGINS,bd5536517f8aeeb4d05cc0e33e54c8d3e899728d02edd6962b49957c3043f621,gaussian,0.25,0.95,1000000.0,optimal,0,372.76589953703717,-76.80703773525994,-181.49366453444767,solved,True,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,0.0,1.0,0.0,1.0,0.0,243.56,234.5660000000001,0.0,0.0,1000076.8070377352,377.3312133094081,377.3312133094081,999622.6687866906,False,False,True,False,False,True,True,0.0,0.0,5.684341886080802e-14,0.0,0.0,,,,0.039062499999999965,,-372.76589953703683,-0.0,-0.0,372.76589953703683,0.0,0.0,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,1.0,0.0,False,True,0.0,-0.0,-2.2737367544323206e-13,2.2737367544323206e-13,0.0,1.0,True,False,233.484302759259,-233.484302759259,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221002,M1_CARDINAL_MARGINS,dc80d4999d946fe20945367500e263f3ef5968393ceca02156cb55338d683cb1,gaussian,0.25,0.95,1000000.0,optimal,0,372.76589953703757,-36.307613887549365,-107.78150652332153,solved,False,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,1.0,0.0,0.0,1.0,0.0,434.66,43.466000000000065,0.0,0.0,1000036.3076138876,211.90364449803155,211.90364449803155,999788.0963555019,False,False,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,,,,0.039062499999999965,,-372.76589953703683,-0.0,-0.0,372.76589953703683,0.0,0.0,1.0,0.0,False,True,0.0,-0.0,-3.410605131648481e-13,3.410605131648481e-13,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,0.0,1.0,True,False,233.48430275925918,-233.48430275925918,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221003,M1_CARDINAL_MARGINS,15a97551166b786196203c725f02a1c49e4149a71defb1fdd3393a452c776eab,gaussian,0.25,0.95,1000000.0,optimal,0,372.76589953703666,-115.33720141410278,-200.50672002081146,solved,True,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,0.0,1.0,0.0,1.0,0.0,243.56,234.5660000000001,0.0,0.0,1000115.337201414,156.2834665450357,156.2834665450357,999843.716533455,False,False,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,,,,0.039062499999999965,,-372.7658995370364,-0.0,-0.0,372.7658995370364,0.0,0.0,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,1.0,0.0,False,True,0.0,-0.0,-6.252776074688882e-13,6.252776074688882e-13,0.0,1.0,True,False,233.48430275925844,-233.48430275925844,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221004,M1_CARDINAL_MARGINS,b544b688a6c5b142a803061761500ce6776a29c52e0876edcc73b5971a8e40d6,gaussian,0.25,0.95,1000000.0,optimal,0,372.76589953703683,-26.71515229398038,-106.7747837479883,solved,False,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,1.0,0.0,0.0,1.0,0.0,434.66,43.466000000000065,0.0,0.0,1000026.715152294,160.85612025797946,160.85612025797946,999839.143879742,False,False,True,False,False,True,True,0.0,5.684341886080801e-13,0.0,0.0,0.0,,,,0.039062499999999965,,-372.7658995370373,-0.0,-0.0,372.7658995370373,0.0,0.0,1.0,0.0,False,True,0.0,-0.0,5.684341886080801e-13,-5.684341886080801e-13,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,0.0,1.0,True,False,233.48430275925972,-233.48430275925972,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221005,M1_CARDINAL_MARGINS,31a82785840ae614a52706fb04c355200498cf47a2d3a53095c766fd55443899,gaussian,0.25,0.95,1000000.0,optimal,0,372.76589953703694,-127.03354310064644,-210.57015924137036,solved,True,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,0.0,1.0,0.0,1.0,0.0,243.56,234.5660000000001,0.0,0.0,1000127.0335431007,39.884857928903216,39.884857928903216,999960.1151420712,False,False,True,False,False,True,True,0.0,2.8421709430404007e-13,0.0,0.0,0.0,,,,0.039062499999999965,,-372.76589953703717,-0.0,-0.0,372.76589953703717,0.0,0.0,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,1.0,0.0,False,True,0.0,-0.0,2.8421709430404007e-13,-2.8421709430404007e-13,0.0,1.0,True,False,233.48430275925938,-233.48430275925938,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221006,M1_CARDINAL_MARGINS,7ec0d84ef267411fe4a0cc4c3172d972b60f56bade7dd428cbf4007e0ec7a4f6,gaussian,0.25,0.95,1000000.0,optimal,0,372.76589953703706,-109.23574144701598,-219.21378723676327,solved,True,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,0.0,1.0,0.0,1.0,0.0,243.56,234.5660000000001,0.0,0.0,1000109.235741447,180.16917835999425,180.16917835999425,999819.83082164,False,False,True,False,False,True,True,0.0,5.684341886080802e-14,0.0,0.0,0.0,,,,0.039062499999999965,,-372.76589953703694,-0.0,-0.0,372.76589953703694,0.0,0.0,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,1.0,0.0,False,True,0.0,-0.0,5.684341886080802e-14,-5.684341886080802e-14,0.0,1.0,True,False,233.48430275925926,-233.48430275925926,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221007,M1_CARDINAL_MARGINS,56ea8a69565d036ef49fdb1e2c0dbc2d26bac3410274eba641152e651ca6dae2,gaussian,0.25,0.95,1000000.0,optimal,0,372.76589953703683,22.821654131677974,-129.19255244974352,solved,False,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,1.0,0.0,0.0,1.0,0.0,434.66,43.466000000000065,0.0,0.0,999977.1783458684,808.6302490837561,808.6302490837561,999191.3697509163,False,False,True,False,False,True,True,0.0,2.2737367544323206e-13,0.0,0.0,0.0,,,,0.039062499999999965,,-372.76589953703694,-0.0,-0.0,372.76589953703694,0.0,0.0,1.0,0.0,False,True,0.0,-0.0,2.2737367544323206e-13,-2.2737367544323206e-13,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,0.0,1.0,True,False,233.48430275925915,-233.48430275925915,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221008,M1_CARDINAL_MARGINS,fe53218b0f315eb965f318193f62fbf467ae5b6274ba0d2d0b01441917e7fda7,gaussian,0.25,0.95,1000000.0,optimal,0,372.7658995370372,-111.5684726592358,-177.22954935648488,solved,True,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,0.0,1.0,0.0,1.0,0.0,243.56,234.5660000000001,0.0,0.0,1000111.5684726592,85.73199148232635,85.73199148232635,999914.2680085177,False,False,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,,,,0.039062499999999965,,-372.76589953703717,-0.0,-0.0,372.76589953703717,0.0,0.0,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,1.0,0.0,False,True,0.0,-0.0,-2.8421709430404007e-13,2.8421709430404007e-13,0.0,1.0,True,False,233.48430275925938,-233.48430275925938,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221009,M1_CARDINAL_MARGINS,f8ba3937043f232c81e039c003c1fa858d55d85440c48ac24311d4bf9a8f26a9,gaussian,0.25,0.95,1000000.0,optimal,0,372.7658995370374,21.41883698757637,-77.18933229115737,solved,False,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,1.0,0.0,0.0,1.0,0.0,434.66,43.466000000000065,0.0,0.0,999978.5811630124,423.1715725163391,423.1715725163391,999576.8284274837,False,False,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,,,,0.039062499999999965,,-372.7658995370365,-0.0,-0.0,372.7658995370365,0.0,0.0,1.0,0.0,False,True,0.0,-0.0,-9.094947017729282e-13,9.094947017729282e-13,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,0.0,1.0,True,False,233.48430275925875,-233.48430275925875,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0000.0,202607221010,M1_CARDINAL_MARGINS,1803d3c043483728334c3aaebb07d8a7db6298d3cdea7caf1348eaf32d03c6d1,gaussian,0.25,0.95,1000000.0,optimal,0,372.7658995370371,-73.13180261724543,-138.1175674363135,solved,False,True,False,-1.0,1.0,2.0,CONFIRMATORY_SIMULATION_NOT_EMPIRICAL_EVIDENCE,1.0,0.0,0.0,1.0,0.0,434.66,43.466000000000065,0.0,0.0,1000073.1318026172,23.0702007920828,23.0702007920828,999976.929799208,False,False,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,,,,0.039062499999999965,,-372.7658995370372,-0.0,-0.0,372.7658995370372,0.0,0.0,1.0,0.0,False,True,0.0,-0.0,0.0,-0.0,0.0,1.0,True,False,0.0,-0.0,0.0,-0.0,0.0,1.0,True,False,233.48430275925963,-233.48430275925963,0.0,-0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
