design_id,design_sha256,figure_id,panel_id,source_output,metric,group_id,value,ci_low,ci_high,n,promotion_eligibility,evidence_boundary
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:NONE,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence+margins,0.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence+margins+operations,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence+margins+operations+risk,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence+margins+risk,0.125,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence+operations,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence+operations+risk,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:dependence+risk,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:margins,0.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:margins+operations,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:margins+operations+risk,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:margins+risk,0.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:operations,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:operations+risk,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,F2,FACE_CLASSIFICATION,optimal_faces.csv,possible_reversal,ATTRIBUTION:risk,1.0,,,16,EXACT_FACE_AUDIT,SIMULATION_NOT_EMPIRICAL_EVIDENCE
