design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,allocation_l1,48,48,1.0,0.5823863374059639,1.417613662594036,0.41761366259403604,0.8352273251880721,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,selected_reversal_change,48,48,0.0,0.0,0.13477302846159397,0.06738651423079699,0.13477302846159397,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,allocation_l1,48,48,1.0,0.5823863374059639,1.417613662594036,0.41761366259403604,0.8352273251880721,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,selected_reversal_change,48,48,0.0,0.0,0.13477302846159397,0.06738651423079699,0.13477302846159397,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,allocation_l1,48,48,1.0,0.5823863374059639,1.417613662594036,0.41761366259403604,0.8352273251880721,0.08,False,False,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,selected_reversal_change,48,48,1.0,0.8652269715384061,1.0,0.06738651423079695,0.1347730284615939,0.38,True,True,0.95,8,False,CONTINUE,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,allocation_l1,64,64,1.03125,0.6749653325389309,1.3875346674610691,0.35628466746106907,0.7125693349221381,0.08,False,False,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0005.0-VS-TIE,selected_reversal_change,64,64,0.0,0.0,0.10460422851283636,0.05230211425641818,0.10460422851283636,0.38,True,True,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,allocation_l1,64,64,1.03125,0.6749653325389309,1.3875346674610691,0.35628466746106907,0.7125693349221381,0.08,False,False,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0025.0-VS-TIE,selected_reversal_change,64,64,0.0,0.0,0.10460422851283636,0.05230211425641818,0.10460422851283636,0.38,True,True,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,allocation_l1,64,64,1.03125,0.6749653325389309,1.3875346674610691,0.35628466746106907,0.7125693349221381,0.08,False,False,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP-+0100.0-VS-TIE,selected_reversal_change,64,64,0.0,0.0,0.10460422851283636,0.05230211425641818,0.10460422851283636,0.38,True,True,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,allocation_l1,64,64,0.96875,0.6124653325389309,1.3250346674610691,0.35628466746106907,0.7125693349221381,0.08,False,False,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E1,E1-GAP--0025.0-VS-TIE,selected_reversal_change,64,64,1.0,0.8953957714871638,1.0,0.05230211425641812,0.10460422851283624,0.38,True,True,0.95,8,True,MAXIMUM_REACHED_PRECISION_FAILED,False
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B0-R0-C1-VS-BASE,allocation_l1,16,16,1.1,1.1,1.1,0.0,0.0,0.08,True,False,0.95,24,True,PRECISION_ACHIEVED,True
