design_id,design_sha256,replication_seed,assumed_family,true_family,risk_limit,policy_status,expected_profit,profit_variance,var_loss,cvar_loss,risk_violation,risk_feasible,hhi,effective_crop_count,tail_coexceedance,allocation_Corn,tail_contribution_Corn,allocation_Soybean,tail_contribution_Soybean,allocation_Winter_Wheat,tail_contribution_Winter_Wheat,reason_code
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225015,clayton,empirical_copula,-105.0,infeasible_or_failed,,,,,,,,,,,,,,,,ASSUMED_POLICY_INFEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225016,clayton,empirical_copula,-105.0,optimal,369.26506388230933,14692.843414301866,-164.31609987861356,-156.01916414411593,0.0,True,0.5128660158736463,1.9498269899918028,0.064697265625,0.4197939657081639,-79.90238435891949,0.580206034291836,-76.11677978519691,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225017,clayton,empirical_copula,-105.0,optimal,371.10401865156575,14721.590104428262,-168.43630079498269,-149.73961595633438,0.0,True,0.5391936026153971,1.8546214108428376,0.060872395833333336,0.36001142436720596,-72.61033094508826,0.6399885756327941,-77.12928501124655,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225018,clayton,empirical_copula,-105.0,optimal,369.77079105502867,13383.484262581858,-175.15634733263798,-149.07085540736736,0.0,True,0.6128066896592612,1.6318359718886715,0.06339518229166667,0.26250611622690034,-48.529887059739394,0.7374938837730997,-100.54096834762827,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225019,clayton,empirical_copula,-105.0,infeasible_or_failed,,,,,,,,,,,,,,,,ASSUMED_POLICY_INFEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225020,clayton,empirical_copula,-105.0,optimal,371.4141146285567,13464.919241429317,-170.20966346406752,-154.2714677295123,0.0,True,0.5549258327886221,1.80204261707332,0.059814453125,0.3342806094800278,-59.83132321275557,0.6657193905199722,-94.44014451675679,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225021,clayton,empirical_copula,-105.0,infeasible_or_failed,,,,,,,,,,,,,,,,ASSUMED_POLICY_INFEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225022,clayton,empirical_copula,-105.0,optimal,369.33980404669046,11946.469441203024,-193.2482169047594,-128.02698302310853,0.0,True,1.0,1.0,0.062255859375,0.0,-0.0,1.0,-128.02698302310915,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225023,clayton,empirical_copula,-105.0,infeasible_or_failed,,,,,,,,,,,,,,,,ASSUMED_POLICY_INFEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225024,clayton,empirical_copula,-105.0,infeasible_or_failed,,,,,,,,,,,,,,,,ASSUMED_POLICY_INFEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225025,clayton,empirical_copula,-105.0,optimal,371.86242912413184,14811.813265457946,-165.29463210322226,-155.6948015191689,0.0,True,0.5178242920070175,1.9311569878735007,0.060384114583333336,0.40559583693761836,-75.8357306318007,0.5944041630623816,-79.85907088736857,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225026,clayton,empirical_copula,-105.0,optimal,373.3697904417579,15683.842971262657,-159.62736868785166,-158.28139306942805,0.0,True,0.5006913459745823,1.99723843449606,0.06306966145833333,0.51859228300374,-42.52395256710748,0.48140771699625995,-115.75744050232025,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225027,clayton,empirical_copula,-105.0,optimal,372.4255075942157,13443.36407924422,-175.41978044040252,-145.01569582350925,0.0,True,0.6164670143834121,1.622146808617483,0.061930338541666664,0.25868380246716544,-50.10721958721771,0.7413161975328346,-94.90847623629203,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225028,clayton,empirical_copula,-105.0,infeasible_or_failed,,,,,,,,,,,,,,,,ASSUMED_POLICY_INFEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225029,clayton,empirical_copula,-105.0,optimal,372.33399459511327,14616.27241519579,-168.33782434683775,-152.66811194381535,0.0,True,0.5383975920069387,1.8573634333548659,0.06315104166666667,0.36144028001085826,-68.64354735835302,0.6385597199891417,-84.02456458546276,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225030,clayton,empirical_copula,-105.0,optimal,370.6801815828744,15373.55588709996,-160.9967033145101,-158.80012000161398,0.0,True,0.5020534895216417,1.9918196384867344,0.063232421875,0.4679571418125526,-90.05335999817625,0.5320428581874475,-68.74676000343817,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225031,clayton,empirical_copula,-105.0,optimal,369.9978730179623,12783.026203357005,-177.10959332976188,-146.26521702762668,0.0,True,0.6413362148268076,1.559244553607579,0.056803385416666664,0.23416526296700077,-43.97963578140764,0.7658347370329992,-102.28558124621944,0.0,-0.0,FEASIBLE
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,202607225032,clayton,empirical_copula,-105.0,optimal,368.6267041565206,13743.377570375476,-172.20993732818374,-149.0982883646407,0.0,True,0.5758493606379274,1.7365652692436742,0.06502278645833333,0.30525739983515787,-58.23016330432879,0.6947426001648422,-90.86812506031237,0.0,-0.0,FEASIBLE
