design_id,design_sha256,experiment_id,contrast_id,metric,check_n,finite_n,estimate,ci_low,ci_high,half_width,interval_width,precision_target,precision_pass,binary_metric,familywise_coverage,multiplicity_count,experiment_stopped_at_check,experiment_stop_reason,all_registered_primary_intervals_pass,evidence_status
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B0-R1-C1-VS-BASE,selected_reversal_change,16,16,1.0,0.628075948370165,1.0,0.1859620258149175,0.371924051629835,0.38,True,True,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R0-C0-VS-BASE,allocation_l1,16,16,1.3647095761381474,1.3647095761381474,1.3647095761381474,0.0,0.0,0.08,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R0-C0-VS-BASE,expected_profit,16,16,-4.809373547988795,-4.809373547989093,-4.809373547988496,2.9814448970534913e-13,5.962889794106983e-13,8.0,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R0-C0-VS-BASE,selected_reversal_change,16,16,1.0,0.628075948370165,1.0,0.1859620258149175,0.371924051629835,0.38,True,True,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R0-C1-VS-BASE,allocation_l1,16,16,1.3647095761381478,1.3647095761381478,1.3647095761381478,0.0,0.0,0.08,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R0-C1-VS-BASE,expected_profit,16,16,-4.809373547988731,-4.809373547989034,-4.809373547988428,3.0293054530111634e-13,6.058610906022327e-13,8.0,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R0-C1-VS-BASE,selected_reversal_change,16,16,1.0,0.628075948370165,1.0,0.1859620258149175,0.371924051629835,0.38,True,True,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R1-C0-VS-BASE,allocation_l1,16,16,1.3647095761381478,1.3647095761381478,1.3647095761381478,0.0,0.0,0.08,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R1-C0-VS-BASE,expected_profit,16,16,-4.809373547988731,-4.809373547989034,-4.809373547988428,3.0293054530111634e-13,6.058610906022327e-13,8.0,True,False,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
CRR-STAGEII-CONFIRM-2026-07-22,21c5b970e734ed79636df2f3882d4d85460c5efa40b88e59b9b9a3f34a25c0ff,E2,E2-B1-R1-C0-VS-BASE,selected_reversal_change,16,16,1.0,0.628075948370165,1.0,0.1859620258149175,0.371924051629835,0.38,True,True,0.95,24,True,PRECISION_ACHIEVED,True,PRECISION_PASSED
